286662 (u'NS2.UNIREGISTRYMARKET.LINK', u'NS1.UNIREGISTRYMARKET.LINK')
1285 (u'NS.123-REG.CO.UK',)
1284 (u'NS2.123-REG.CO.UK',)
1281 (u'NS2.PQL.NET', u'NS1.PQL.NET')
1221 (u'DNS1.BIGROCK.IN',)
1220 (u'DNS2.BIGROCK.IN',)
1208 (u'DNS3.BIGROCK.IN',)
1208 (u'NS4.MYHOSTADMIN.NET', u'NS3.MYHOSTADMIN.NET')
1207 (u'DNS4.BIGROCK.IN',)
1139 (u'NS1.SERVCONFIG',)
1138 (u'NS2.SERVCONFIG',)
1003 (u'NS02.ONE', u'NS01.ONE')
991 (u'DNS4.MASTERWEBNET',)
981 (u'NS101.WEBNIC.CC', u'NS100.WEBNIC.CC')
978 (u'NS1.JUSTHOST', u'NS2.JUSTHOST')
952 (u'NS2.NATROHOST',)
951 (u'NS100.ROOKDNS', u'NS99.ROOKDNS')
950 (u'NS1.NATROHOST',)
922 (u'DNS1.ONAMAE', u'DNS2.ONAMAE')
883 (u'NS1.ABOVE', u'NS2.ABOVE')
870 (u'NS2.HOSTGATOR',)
870 (u'NS1.HOSTGATOR',)
833 (u'NS.BUYDOMAINS',)
768 (u'THIS-DOMAIN-FOR-SALE',)
764 (u'DNS3.PARKPAGE.FOUNDATIONAPI', u'DNS4.PARKPAGE.FOUNDATIONAPI')
751 (u'NS13.VALUE-DOMAIN', u'NS11.VALUE-DOMAIN', u'NS12.VALUE-DOMAIN')
745 (u'NS1.PARKINGHELP.NET', u'NS2.PARKINGHELP.NET')
732 (u'NS1.NDSPLITTER', u'NS2.NDSPLITTER', u'NS3.NDSPLITTER')
706 (u'NS-UK.TOPDNS',)
701 (u'NS-USA.TOPDNS',)
698 (u'DNS1.STABLETRANSIT',)
697 (u'DNS2.STABLETRANSIT',)
696 (u'NS-CANADA.TOPDNS',)
688 (u'NS2.51DNS',)
688 (u'B.NS.INTERLAND.NET',)
687 (u'NS1.51DNS',)
686 (u'A.NS.INTERLAND.NET',)
657 (u'NS1.WEBSERVERSYSTEMS',)
657 (u'NS2.WEBSERVERSYSTEMS',)
